model,layer,metric,score
dinosr_reproduced_codebooks,8,cluster_purity,0.10526779294013977
dinosr_reproduced_codebooks,8,pnmi,0.3347708284854889
dinosr_reproduced_codebooks,8,codebook_perplexity,144.13296508789062
dinosr_reproduced_codebooks,8,active_codewords,213.0
dinosr_reproduced_codebooks,8,bitrate,136.95515501020387
dinosr_reproduced_codebooks,9,phone_purity,0.41745156049728394
dinosr_reproduced_codebooks,9,cluster_purity,0.12818075716495514
dinosr_reproduced_codebooks,9,pnmi,0.36285141110420227
dinosr_reproduced_codebooks,9,codebook_perplexity,149.16627502441406
dinosr_reproduced_codebooks,9,active_codewords,214.0
dinosr_reproduced_codebooks,9,bitrate,136.08610424477925
dinosr_reproduced_codebooks,10,phone_purity,0.5402724742889404
dinosr_reproduced_codebooks,10,cluster_purity,0.1682845801115036
dinosr_reproduced_codebooks,10,pnmi,0.5040390491485596
dinosr_reproduced_codebooks,10,codebook_perplexity,166.70428466796875
dinosr_reproduced_codebooks,10,active_codewords,222.0
dinosr_reproduced_codebooks,10,bitrate,149.33245481947668
dinosr_reproduced_codebooks,11,phone_purity,0.5546647310256958
dinosr_reproduced_codebooks,11,cluster_purity,0.17408716678619385
dinosr_reproduced_codebooks,11,pnmi,0.5093784332275391
dinosr_reproduced_codebooks,11,codebook_perplexity,138.56077575683594
dinosr_reproduced_codebooks,11,active_codewords,189.0
dinosr_reproduced_codebooks,11,bitrate,167.97403864436995
dinosr_reproduced_codebooks,12,phone_purity,0.44317567348480225
dinosr_reproduced_codebooks,12,cluster_purity,0.09779178351163864
dinosr_reproduced_codebooks,12,pnmi,0.3969569802284241
dinosr_reproduced_codebooks,12,codebook_perplexity,158.7190399169922
dinosr_reproduced_codebooks,12,active_codewords,214.0
dinosr_reproduced_codebooks,12,bitrate,212.86510804608193
dinosr_original_kmeans,5,phone_purity,0.6297191381454468
dinosr_original_kmeans,5,cluster_purity,0.15657559037208557
dinosr_original_kmeans,5,pnmi,0.5875398516654968
dinosr_original_kmeans,5,codebook_perplexity,200.27066040039062
dinosr_original_kmeans,5,active_codewords,256.0
dinosr_original_kmeans,5,bitrate,188.09822053275457
dinosr_reproduced_kmeans,5,phone_purity,0.6357746124267578
dinosr_reproduced_kmeans,5,cluster_purity,0.14491426944732666
dinosr_reproduced_kmeans,5,pnmi,0.5914698243141174
dinosr_reproduced_kmeans,5,codebook_perplexity,205.42398071289062
dinosr_reproduced_kmeans,5,active_codewords,256.0
dinosr_reproduced_kmeans,5,bitrate,201.0486023314164
spidr_kmeans,1,phone_purity,0.5545876622200012
spidr_kmeans,1,cluster_purity,0.11197715252637863
spidr_kmeans,1,pnmi,0.5244506001472473
spidr_kmeans,1,codebook_perplexity,210.48306274414062
spidr_kmeans,1,active_codewords,256.0
spidr_kmeans,1,bitrate,263.77957635364163
spidr_kmeans,2,phone_purity,0.5880432724952698
spidr_kmeans,2,cluster_purity,0.153926819562912
spidr_kmeans,2,pnmi,0.5409324765205383
spidr_kmeans,2,codebook_perplexity,157.43605041503906
spidr_kmeans,2,active_codewords,255.0
spidr_kmeans,2,bitrate,212.91828497005113
spidr_kmeans,3,phone_purity,0.5322462320327759
spidr_kmeans,3,cluster_purity,0.17115740478038788
spidr_kmeans,3,pnmi,0.4823375344276428
spidr_kmeans,3,codebook_perplexity,148.77305603027344
spidr_kmeans,3,active_codewords,256.0
spidr_kmeans,3,bitrate,169.0106708713867
spidr_kmeans,4,phone_purity,0.38031166791915894
spidr_kmeans,4,cluster_purity,0.14758607745170593
spidr_kmeans,4,pnmi,0.321056067943573
spidr_kmeans,4,codebook_perplexity,84.50647735595703
spidr_kmeans,4,active_codewords,256.0
spidr_kmeans,4,bitrate,168.2140763131233
spidr_kmeans,5,phone_purity,0.6886438131332397
spidr_kmeans,5,cluster_purity,0.15354306995868683
spidr_kmeans,5,pnmi,0.6572228670120239
spidr_kmeans,5,codebook_perplexity,232.36801147460938
spidr_kmeans,5,active_codewords,256.0
spidr_kmeans,5,bitrate,193.6597640830134
spidr_kmeans,6,phone_purity,0.67286217212677
spidr_kmeans,6,cluster_purity,0.14467565715312958
spidr_kmeans,6,pnmi,0.6361584663391113
spidr_kmeans,6,codebook_perplexity,233.9696044921875
spidr_kmeans,6,active_codewords,256.0
spidr_kmeans,6,bitrate,210.51197619538198
spidr_kmeans,7,phone_purity,0.6698099970817566
spidr_kmeans,7,cluster_purity,0.1417379528284073
spidr_kmeans,7,pnmi,0.6399201154708862
spidr_kmeans,7,codebook_perplexity,238.28155517578125
spidr_kmeans,7,active_codewords,256.0
spidr_kmeans,7,bitrate,205.7533830110323
spidr_kmeans,8,phone_purity,0.5594896078109741
spidr_kmeans,8,cluster_purity,0.10210578143596649
spidr_kmeans,8,pnmi,0.5279172658920288
spidr_kmeans,8,codebook_perplexity,243.4152374267578
spidr_kmeans,8,active_codewords,256.0
spidr_kmeans,8,bitrate,221.32723034559197
spidr_kmeans,9,phone_purity,0.4994065463542938
spidr_kmeans,9,cluster_purity,0.08534499257802963
spidr_kmeans,9,pnmi,0.46196863055229187
spidr_kmeans,9,codebook_perplexity,245.976318359375
spidr_kmeans,9,active_codewords,256.0
spidr_kmeans,9,bitrate,217.51883040427725
spidr_kmeans,10,phone_purity,0.49014556407928467
spidr_kmeans,10,cluster_purity,0.07904665172100067
spidr_kmeans,10,pnmi,0.44636574387550354
spidr_kmeans,10,codebook_perplexity,248.40174865722656
spidr_kmeans,10,active_codewords,256.0
spidr_kmeans,10,bitrate,220.8215199172476
spidr_kmeans,11,phone_purity,0.46609440445899963
spidr_kmeans,11,cluster_purity,0.07595561444759369
spidr_kmeans,11,pnmi,0.41853412985801697
spidr_kmeans,11,codebook_perplexity,247.78977966308594
spidr_kmeans,11,active_codewords,256.0
spidr_kmeans,11,bitrate,224.85957637482764
spidr_kmeans,12,phone_purity,0.45106133818626404
spidr_kmeans,12,cluster_purity,0.07131321728229523
spidr_kmeans,12,pnmi,0.3937341868877411
spidr_kmeans,12,codebook_perplexity,250.5901336669922
spidr_kmeans,12,active_codewords,256.0
spidr_kmeans,12,bitrate,219.19528060096303
spidr_codebooks,5,phone_purity,0.7072369456291199
spidr_codebooks,5,cluster_purity,0.18054810166358948
spidr_codebooks,5,pnmi,0.664501965045929
spidr_codebooks,5,codebook_perplexity,197.567138671875
spidr_codebooks,5,active_codewords,212.0
spidr_codebooks,5,bitrate,187.6704746781977
spidr_codebooks,6,phone_purity,0.6403322219848633
spidr_codebooks,6,cluster_purity,0.17040131986141205
spidr_codebooks,6,pnmi,0.602429211139679
spidr_codebooks,6,codebook_perplexity,190.712158203125
spidr_codebooks,6,active_codewords,203.0
spidr_codebooks,6,bitrate,191.73797971120288
spidr_codebooks,7,phone_purity,0.632702112197876
spidr_codebooks,7,cluster_purity,0.1487070918083191
spidr_codebooks,7,pnmi,0.6074690222740173
spidr_codebooks,7,codebook_perplexity,203.044921875
spidr_codebooks,7,active_codewords,214.0
spidr_codebooks,7,bitrate,197.47642657426755
spidr_codebooks,8,phone_purity,0.5330075621604919
spidr_codebooks,8,cluster_purity,0.11158891767263412
spidr_codebooks,8,pnmi,0.5034996271133423
spidr_codebooks,8,codebook_perplexity,199.26547241210938
spidr_codebooks,8,active_codewords,211.0
spidr_codebooks,8,bitrate,205.2538165300788
spidr_codebooks,9,phone_purity,0.48939797282218933
spidr_codebooks,9,cluster_purity,0.09559903293848038
spidr_codebooks,9,pnmi,0.4497358798980713
spidr_codebooks,9,codebook_perplexity,201.52496337890625
spidr_codebooks,9,active_codewords,210.0
spidr_codebooks,9,bitrate,210.1035096240171
spidr_codebooks,10,phone_purity,0.48429566621780396
spidr_codebooks,10,cluster_purity,0.09029166400432587
spidr_codebooks,10,pnmi,0.4427858293056488
spidr_codebooks,10,codebook_perplexity,212.465087890625
spidr_codebooks,10,active_codewords,221.0
spidr_codebooks,10,bitrate,213.05302809214035
spidr_codebooks,11,phone_purity,0.4525981545448303
spidr_codebooks,11,cluster_purity,0.09592529386281967
spidr_codebooks,11,pnmi,0.40303686261177063
spidr_codebooks,11,codebook_perplexity,181.5715789794922
spidr_codebooks,11,active_codewords,197.0
spidr_codebooks,11,bitrate,209.7583892688546
spidr_codebooks,12,phone_purity,0.4459695518016815
spidr_codebooks,12,cluster_purity,0.08386408537626266
spidr_codebooks,12,pnmi,0.3923853039741516
spidr_codebooks,12,codebook_perplexity,206.0933074951172
spidr_codebooks,12,active_codewords,212.0
spidr_codebooks,12,bitrate,213.86000380289178
wavlm_kmeans,11,phone_purity,0.6870403289794922
wavlm_kmeans,11,cluster_purity,0.18071654438972473
wavlm_kmeans,11,pnmi,0.6667462587356567
wavlm_kmeans,11,codebook_perplexity,226.3109588623047
wavlm_kmeans,11,active_codewords,256.0
wavlm_kmeans,11,bitrate,218.90630321333768
hubert_kmeans,1,phone_purity,0.49737077951431274
hubert_kmeans,1,cluster_purity,0.0837409496307373
hubert_kmeans,1,pnmi,0.48059016466140747
hubert_kmeans,1,codebook_perplexity,245.08551025390625
hubert_kmeans,1,active_codewords,256.0
hubert_kmeans,1,bitrate,269.06337110978257
hubert_kmeans,2,phone_purity,0.5245509147644043
hubert_kmeans,2,cluster_purity,0.09120028465986252
hubert_kmeans,2,pnmi,0.5082750916481018
hubert_kmeans,2,codebook_perplexity,245.29200744628906
hubert_kmeans,2,active_codewords,256.0
hubert_kmeans,2,bitrate,274.7047859761226
hubert_kmeans,3,phone_purity,0.5534456968307495
