model,dataset,layer,speaker,score
dinosr,dev-clean,1,within,7.015
dinosr,dev-other,1,within,9.593
dinosr,dev-clean,2,within,5.781
dinosr,dev-other,2,within,8.116
dinosr,dev-clean,3,within,4.55
dinosr,dev-other,3,within,6.633
dinosr,dev-clean,4,within,4.091
dinosr,dev-other,4,within,5.642
dinosr,dev-clean,5,within,4.054
dinosr,dev-other,5,within,5.115
dinosr,dev-clean,6,within,6.818
dinosr,dev-other,6,within,7.076
dinosr,dev-clean,7,within,9.765
dinosr,dev-other,7,within,10.108
dinosr,dev-clean,8,within,12.533
dinosr,dev-other,8,within,12.358
dinosr,dev-clean,9,within,11.115
dinosr,dev-other,9,within,11.173
dinosr,dev-clean,10,within,9.758
dinosr,dev-other,10,within,9.491
dinosr,dev-clean,11,within,8.187
dinosr,dev-other,11,within,8.709
dinosr,dev-clean,12,within,10.607
dinosr,dev-other,12,within,12.856
dinosr_codebooks,dev-clean,5,within,3.48
dinosr_codebooks,dev-other,5,within,3.888
dinosr_codebooks,dev-clean,6,within,5.947
dinosr_codebooks,dev-other,6,within,5.96
dinosr_codebooks,dev-clean,7,within,8.9
dinosr_codebooks,dev-other,7,within,8.75
dinosr_codebooks,dev-clean,8,within,13.009
dinosr_codebooks,dev-other,8,within,12.671
dinosr_codebooks,dev-clean,9,within,11.664
dinosr_codebooks,dev-other,9,within,11.346
dinosr_codebooks,dev-clean,10,within,7.906
dinosr_codebooks,dev-other,10,within,7.714
dinosr_codebooks,dev-clean,11,within,7.464
dinosr_codebooks,dev-other,11,within,7.364
dinosr_codebooks,dev-clean,12,within,12.209
dinosr_codebooks,dev-other,12,within,12.218
dinosr_ours,dev-clean,1,within,7.677
dinosr_ours,dev-other,1,within,10.635
dinosr_ours,dev-clean,2,within,6.54
dinosr_ours,dev-other,2,within,9.201
dinosr_ours,dev-clean,3,within,5.695
dinosr_ours,dev-other,3,within,7.955
dinosr_ours,dev-clean,4,within,4.047
dinosr_ours,dev-other,4,within,5.831
dinosr_ours,dev-clean,5,within,4.289
dinosr_ours,dev-other,5,within,5.561
dinosr_ours,dev-clean,6,within,5.006
dinosr_ours,dev-other,6,within,5.694
dinosr_ours,dev-clean,7,within,7.977
dinosr_ours,dev-other,7,within,7.618
dinosr_ours,dev-clean,8,within,11.274
dinosr_ours,dev-other,8,within,11.036
dinosr_ours,dev-clean,9,within,10.323
dinosr_ours,dev-other,9,within,10.607
dinosr_ours,dev-clean,10,within,7.887
dinosr_ours,dev-other,10,within,8.165
dinosr_ours,dev-clean,11,within,6.805
dinosr_ours,dev-other,11,within,7.194
dinosr_ours,dev-clean,12,within,12.884
dinosr_ours,dev-other,12,within,12.573
dinosr_ours_codebooks,dev-clean,5,within,3.178
dinosr_ours_codebooks,dev-other,5,within,3.919
dinosr_ours_codebooks,dev-clean,6,within,4.093
dinosr_ours_codebooks,dev-other,6,within,4.314
dinosr_ours_codebooks,dev-clean,7,within,8.077
dinosr_ours_codebooks,dev-other,7,within,8.173
dinosr_ours_codebooks,dev-clean,8,within,14.276
dinosr_ours_codebooks,dev-other,8,within,13.688
dinosr_ours_codebooks,dev-clean,9,within,12.792
dinosr_ours_codebooks,dev-other,9,within,12.586
dinosr_ours_codebooks,dev-clean,10,within,7.982
dinosr_ours_codebooks,dev-other,10,within,8.213
dinosr_ours_codebooks,dev-clean,11,within,6.856
dinosr_ours_codebooks,dev-other,11,within,7.296
dinosr_ours_codebooks,dev-clean,12,within,9.281
dinosr_ours_codebooks,dev-other,12,within,9.269
hubert,dev-clean,1,within,7.128
hubert,dev-other,1,within,9.142
hubert,dev-clean,2,within,6.535
hubert,dev-other,2,within,8.588
hubert,dev-clean,3,within,6.104
hubert,dev-other,3,within,7.921
hubert,dev-clean,4,within,5.796
hubert,dev-other,4,within,7.476
hubert,dev-clean,5,within,4.777
hubert,dev-other,5,within,6.305
hubert,dev-clean,6,within,4.351
hubert,dev-other,6,within,5.722
hubert,dev-clean,7,within,3.978
hubert,dev-other,7,within,4.96
hubert,dev-clean,8,within,4.145
hubert,dev-other,8,within,5.064
hubert,dev-clean,9,within,4.275
hubert,dev-other,9,within,5.096
hubert,dev-clean,10,within,3.83
hubert,dev-other,10,within,4.493
hubert,dev-clean,11,within,3.378
hubert,dev-other,11,within,4.264
hubert,dev-clean,12,within,3.737
hubert,dev-other,12,within,4.856
spidr,dev-clean,1,within,5.898
spidr,dev-other,1,within,8.632
spidr,dev-clean,2,within,4.99
spidr,dev-other,2,within,7.301
spidr,dev-clean,3,within,4.842
spidr,dev-other,3,within,5.778
spidr,dev-clean,4,within,10.545
spidr,dev-other,4,within,11.127
spidr,dev-clean,5,within,4.525
spidr,dev-other,5,within,4.923
spidr,dev-clean,6,within,3.324
spidr,dev-other,6,within,3.739
spidr,dev-clean,7,within,3.217
spidr,dev-other,7,within,3.755
spidr,dev-clean,8,within,4.266
spidr,dev-other,8,within,4.94
spidr,dev-clean,9,within,5.587
spidr,dev-other,9,within,6.258
spidr,dev-clean,10,within,5.982
spidr,dev-other,10,within,6.73
spidr,dev-clean,11,within,6.577
spidr,dev-other,11,within,7.502
spidr,dev-clean,12,within,7.08
spidr,dev-other,12,within,8.181
spidr_codebooks,dev-clean,5,within,3.625
spidr_codebooks,dev-other,5,within,3.996
spidr_codebooks,dev-clean,6,within,2.986
spidr_codebooks,dev-other,6,within,3.482
spidr_codebooks,dev-clean,7,within,2.902
spidr_codebooks,dev-other,7,within,3.489
spidr_codebooks,dev-clean,8,within,4.356
spidr_codebooks,dev-other,8,within,5.343
spidr_codebooks,dev-clean,9,within,6.017
spidr_codebooks,dev-other,9,within,7.103
spidr_codebooks,dev-clean,10,within,6.49
spidr_codebooks,dev-other,10,within,7.677
spidr_codebooks,dev-clean,11,within,7.271
spidr_codebooks,dev-other,11,within,8.223
spidr_codebooks,dev-clean,12,within,7.39
spidr_codebooks,dev-other,12,within,8.707
dinosr,dev-clean,1,across,11.043
dinosr,dev-other,1,across,18.438
dinosr,dev-clean,2,across,9.046
dinosr,dev-other,2,across,16.416
dinosr,dev-clean,3,across,6.262
dinosr,dev-other,3,across,12.41
dinosr,dev-clean,4,across,5.074
dinosr,dev-other,4,across,9.417
dinosr,dev-clean,5,across,4.771
dinosr,dev-other,5,across,7.274
dinosr,dev-clean,6,across,7.509
dinosr,dev-other,6,across,9.457
dinosr,dev-clean,7,across,10.754
dinosr,dev-other,7,across,12.752
dinosr,dev-clean,8,across,14.43
dinosr,dev-other,8,across,15.928
dinosr,dev-clean,9,across,12.776
dinosr,dev-other,9,across,13.883
dinosr,dev-clean,10,across,11.012
dinosr,dev-other,10,across,12.24
dinosr,dev-clean,11,across,9.04
dinosr,dev-other,11,across,11.046
dinosr,dev-clean,12,across,12.393
dinosr,dev-other,12,across,17.723
dinosr_codebooks,dev-clean,5,across,3.795
dinosr_codebooks,dev-other,5,across,4.856
dinosr_codebooks,dev-clean,6,across,6.266
dinosr_codebooks,dev-other,6,across,7.145
dinosr_codebooks,dev-clean,7,across,9.632
dinosr_codebooks,dev-other,7,across,10.592
dinosr_codebooks,dev-clean,8,across,15.169
dinosr_codebooks,dev-other,8,across,15.644
dinosr_codebooks,dev-clean,9,across,13.309
dinosr_codebooks,dev-other,9,across,13.671
dinosr_codebooks,dev-clean,10,across,8.705
dinosr_codebooks,dev-other,10,across,9.281
dinosr_codebooks,dev-clean,11,across,8.394
dinosr_codebooks,dev-other,11,across,9.143
dinosr_codebooks,dev-clean,12,across,13.831
dinosr_codebooks,dev-other,12,across,14.845
dinosr_ours,dev-clean,1,across,12.893
dinosr_ours,dev-other,1,across,20.997
dinosr_ours,dev-clean,2,across,10.757
dinosr_ours,dev-other,2,across,18.699
dinosr_ours,dev-clean,3,across,8.88
dinosr_ours,dev-other,3,across,15.996
dinosr_ours,dev-clean,4,across,5.32
dinosr_ours,dev-other,4,across,10.229
dinosr_ours,dev-clean,5,across,5.193
dinosr_ours,dev-other,5,across,8.623
dinosr_ours,dev-clean,6,across,5.653
dinosr_ours,dev-other,6,across,7.849
dinosr_ours,dev-clean,7,across,8.477
dinosr_ours,dev-other,7,across,9.846
dinosr_ours,dev-clean,8,across,12.83
dinosr_ours,dev-other,8,across,13.993
dinosr_ours,dev-clean,9,across,11.795
dinosr_ours,dev-other,9,across,13.147
dinosr_ours,dev-clean,10,across,8.772
dinosr_ours,dev-other,10,across,9.791
dinosr_ours,dev-clean,11,across,7.571
dinosr_ours,dev-other,11,across,8.974
dinosr_ours,dev-clean,12,across,15.783
dinosr_ours,dev-other,12,across,17.664
dinosr_ours_codebooks,dev-clean,5,across,3.454
dinosr_ours_codebooks,dev-other,5,across,4.914
dinosr_ours_codebooks,dev-clean,6,across,4.369
dinosr_ours_codebooks,dev-other,6,across,5.277
dinosr_ours_codebooks,dev-clean,7,across,8.876
dinosr_ours_codebooks,dev-other,7,across,9.773
dinosr_ours_codebooks,dev-clean,8,across,16.082
dinosr_ours_codebooks,dev-other,8,across,17.076
dinosr_ours_codebooks,dev-clean,9,across,14.464
dinosr_ours_codebooks,dev-other,9,across,15.201
dinosr_ours_codebooks,dev-clean,10,across,8.802
dinosr_ours_codebooks,dev-other,10,across,9.636
dinosr_ours_codebooks,dev-clean,11,across,7.813
dinosr_ours_codebooks,dev-other,11,across,8.556
dinosr_ours_codebooks,dev-clean,12,across,10.28
dinosr_ours_codebooks,dev-other,12,across,10.951
hubert,dev-clean,1,across,10.702
hubert,dev-other,1,across,15.883
hubert,dev-clean,2,across,9.381
hubert,dev-other,2,across,14.512
hubert,dev-clean,3,across,8.391
hubert,dev-other,3,across,13.167
hubert,dev-clean,4,across,7.681
hubert,dev-other,4,across,12.223
hubert,dev-clean,5,across,6.036
hubert,dev-other,5,across,10.126
hubert,dev-clean,6,across,5.243
hubert,dev-other,6,across,8.583
hubert,dev-clean,7,across,4.661
hubert,dev-other,7,across,7.11
hubert,dev-clean,8,across,4.898
hubert,dev-other,8,across,6.875
hubert,dev-clean,9,across,5.046
hubert,dev-other,9,across,6.919
hubert,dev-clean,10,across,4.49
hubert,dev-other,10,across,6.355
hubert,dev-clean,11,across,4.005
hubert,dev-other,11,across,6.488
hubert,dev-clean,12,across,4.51
hubert,dev-other,12,across,7.285
spidr,dev-clean,1,across,8.993
spidr,dev-other,1,across,16.41
spidr,dev-clean,2,across,6.664
spidr,dev-other,2,across,13.129
spidr,dev-clean,3,across,5.409
spidr,dev-other,3,across,7.816
spidr,dev-clean,4,across,11.96
spidr,dev-other,4,across,14.752
spidr,dev-clean,5,across,5.234
spidr,dev-other,5,across,6.564
spidr,dev-clean,6,across,3.652
spidr,dev-other,6,across,4.974
spidr,dev-clean,7,across,3.769
spidr,dev-other,7,across,5.3
spidr,dev-clean,8,across,5.941
spidr,dev-other,8,across,8.292
spidr,dev-clean,9,across,8.358
spidr,dev-other,9,across,11.444
spidr,dev-clean,10,across,9.129
spidr,dev-other,10,across,12.622
spidr,dev-clean,11,across,10.282
spidr,dev-other,11,across,13.885
spidr,dev-clean,12,across,11.114
spidr,dev-other,12,across,15.118
spidr_codebooks,dev-clean,5,across,3.957
spidr_codebooks,dev-other,5,across,4.915
spidr_codebooks,dev-clean,6,across,3.331
spidr_codebooks,dev-other,6,across,4.558
spidr_codebooks,dev-clean,7,across,3.613
