model,dataset,layer,score
hubert,dev-clean,4,12.64
hubert,dev-other,4,7.61
hubert,dev-clean,5,19.92
hubert,dev-other,5,12.13
hubert,dev-clean,6,30.36
hubert,dev-other,6,19.22
hubert,dev-clean,7,43.67
hubert,dev-other,7,31.31
hubert,dev-clean,8,55.33
hubert,dev-other,8,42.95
hubert,dev-clean,9,58.03
hubert,dev-other,9,46.77
hubert,dev-clean,10,58.89
hubert,dev-other,10,47.24
hubert,dev-clean,11,46.07
hubert,dev-other,11,33.37
hubert,dev-clean,12,36.01
hubert,dev-other,12,26.23
spidr,dev-clean,1,14.64
spidr,dev-other,1,7.5
spidr,dev-clean,2,39.46
spidr,dev-other,2,22.07
spidr,dev-clean,3,70.14
spidr,dev-other,3,54.72
spidr,dev-clean,4,66.24
spidr,dev-other,4,52.76
spidr,dev-clean,5,69.52
spidr,dev-other,5,57.32
spidr,dev-clean,6,66.5
spidr,dev-other,6,55.26
spidr,dev-clean,7,55.93
spidr,dev-other,7,45.34
spidr,dev-clean,8,33.56
spidr,dev-other,8,24.59
spidr,dev-clean,9,25.56
spidr,dev-other,9,17.77
spidr,dev-clean,10,23.09
spidr,dev-other,10,15.65
spidr,dev-clean,11,19.66
spidr,dev-other,11,12.77
spidr,dev-clean,12,15.08
spidr,dev-other,12,9.69
spidr_codebooks,dev-clean,5,72.58
spidr_codebooks,dev-other,5,60.15
spidr_codebooks,dev-clean,6,63.5
spidr_codebooks,dev-other,6,52.44
spidr_codebooks,dev-clean,7,52.16
spidr_codebooks,dev-other,7,42.22
spidr_codebooks,dev-clean,8,27.8
spidr_codebooks,dev-other,8,19.96
spidr_codebooks,dev-clean,9,19.07
spidr_codebooks,dev-other,9,12.97
spidr_codebooks,dev-clean,10,17.67
spidr_codebooks,dev-other,10,11.73
spidr_codebooks,dev-clean,11,14.55
spidr_codebooks,dev-other,11,9.3
spidr_codebooks,dev-clean,12,13.08
spidr_codebooks,dev-other,12,8.22
spidr_onehot,dev-clean,5,69.18
spidr_onehot,dev-other,5,56.54
spidr_onehot,dev-clean,6,59.48
spidr_onehot,dev-other,6,48.41
spidr_onehot,dev-clean,7,47.84
spidr_onehot,dev-other,7,37.94
spidr_onehot,dev-clean,8,24.19
spidr_onehot,dev-other,8,16.88
spidr_onehot,dev-clean,9,16.21
spidr_onehot,dev-other,9,10.7
spidr_onehot,dev-clean,10,14.96
spidr_onehot,dev-other,10,9.63
spidr_onehot,dev-clean,11,12.14
spidr_onehot,dev-other,11,7.51
spidr_onehot,dev-clean,12,10.76
spidr_onehot,dev-other,12,6.58
